test_dir,fail_reason,diff_disass
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00001,"rtl hang due to -->80005ad0:	534f0f13          	addi	t5,t5,1332 # 800e0000 <begin_signature>
","    80005ac8:	00020fb7          	lui	t6,0x20

    80005acc:	000daf17          	auipc	t5,0xda

    80005ad0:	534f0f13          	addi	t5,t5,1332 # 800e0000 <begin_signature>

    80005ad4:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005ad8:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_exceptions_080720201594204783_00000,"mismatch due to --> 80000818:	c22978d3          	fcvt.l.d	a7,fs2
","```

spike.dump:

3 0x0000000080000818 (0xc22978d3) x17 0x7fffffffffffffff

rtl.dump:

3 0x0000000080000818 (0xc22978d3) x17 0x8425bd6296f32024

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00039,"mismatch due to --> 80000398:	fb4ff5cf          	fnmadd.d	fa1,ft11,fs4,ft11
","```

spike.dump:

3 0x0000000080000398 (0xfb4ff5cf) f11 0x8635a9829c6ac7c2

rtl.dump:

3 0x0000000080000398 (0xfb4ff5cf) f11 0x8635a9829c6ac7c1

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00038,"mismatch due to --> 80000bfe:	e20b0ed3          	fmv.x.d	t4,fs6
","```

spike.dump:

3 0x0000000080000bfe (0xe20b0ed3) x29 0x7ff8000000000000

rtl.dump:

3 0x0000000080000bfe (0xe20b0ed3) x29 0x3fe0000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00037,"mismatch due to --> 8000082e:	a243fa4f          	fnmadd.d	fs4,ft7,ft4,fs4
","```

spike.dump:

3 0x000000008000082e (0xa243fa4f) f20 0x716f239e98fd26e0

rtl.dump:

3 0x000000008000082e (0xa243fa4f) f20 0x7190000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00036,"mismatch due to --> 8000425a:	f20983d3          	fmv.d.x	ft7,s3
","```

spike.dump:

3 0x000000008000425a (0xf20983d3) f 7 0x0000000000000000

rtl.dump:

3 0x000000008000425a (0xf20983d3) f 7 0x3ff0000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00035,"rtl hang due to -->80005b0a:	4faf0f13          	addi	t5,t5,1274 # 800e0000 <begin_signature>
","    80005b02:	00020fb7          	lui	t6,0x20

    80005b06:	000daf17          	auipc	t5,0xda

    80005b0a:	4faf0f13          	addi	t5,t5,1274 # 800e0000 <begin_signature>

    80005b0e:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b12:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00034,"mismatch due to --> 80001b92:	4180053b          	negw	a0,s8
","```

spike.dump:

3 0x0000000080001b92 (0x4180053b) x10 0x0000000000000001

rtl.dump:

3 0x0000000080001b92 (0x4180053b) x10 0x0000000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00033,"rtl hang due to -->80005b26:	4def0f13          	addi	t5,t5,1246 # 800e0000 <begin_signature>
","    80005b1e:	00020fb7          	lui	t6,0x20

    80005b22:	000daf17          	auipc	t5,0xda

    80005b26:	4def0f13          	addi	t5,t5,1246 # 800e0000 <begin_signature>

    80005b2a:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b2e:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00032,"rtl hang due to -->80005a92:	572f0f13          	addi	t5,t5,1394 # 800e0000 <begin_signature>
","    80005a8a:	00020fb7          	lui	t6,0x20

    80005a8e:	000daf17          	auipc	t5,0xda

    80005a92:	572f0f13          	addi	t5,t5,1394 # 800e0000 <begin_signature>

    80005a96:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a9a:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00031,"rtl hang due to -->80005a60:	5a4f0f13          	addi	t5,t5,1444 # 800e0000 <begin_signature>
","    80005a58:	00020fb7          	lui	t6,0x20

    80005a5c:	000daf17          	auipc	t5,0xda

    80005a60:	5a4f0f13          	addi	t5,t5,1444 # 800e0000 <begin_signature>

    80005a64:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a68:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00030,"rtl hang due to -->80005aa2:	562f0f13          	addi	t5,t5,1378 # 800e0000 <begin_signature>
","    80005a9a:	00020fb7          	lui	t6,0x20

    80005a9e:	000daf17          	auipc	t5,0xda

    80005aa2:	562f0f13          	addi	t5,t5,1378 # 800e0000 <begin_signature>

    80005aa6:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005aaa:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00029,"rtl hang due to -->80005b5c:	4a8f0f13          	addi	t5,t5,1192 # 800e0000 <begin_signature>
","    80005b54:	00020fb7          	lui	t6,0x20

    80005b58:	000daf17          	auipc	t5,0xda

    80005b5c:	4a8f0f13          	addi	t5,t5,1192 # 800e0000 <begin_signature>

    80005b60:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b64:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00028,"mismatch due to --> 8000072c:	40dedc1b          	sraiw	s8,t4,0xd
","```

spike.dump:

3 0x000000008000072c (0x40dedc1b) x24 0x0000000000000000

rtl.dump:

3 0x000000008000072c (0x40dedc1b) x24 0x7ff0000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00027,"mismatch due to --> 80000f78:	40b48e3b          	subw	t3,s1,a1
","```

spike.dump:

3 0x0000000080000f78 (0x40b48e3b) x28 0xffffffffffffffff

rtl.dump:

3 0x0000000080000f78 (0x40b48e3b) x28 0x205ca2efe1060185

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00026,"rtl hang due to -->80005a70:	594f0f13          	addi	t5,t5,1428 # 800e0000 <begin_signature>
","    80005a68:	00020fb7          	lui	t6,0x20

    80005a6c:	000daf17          	auipc	t5,0xda

    80005a70:	594f0f13          	addi	t5,t5,1428 # 800e0000 <begin_signature>

    80005a74:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a78:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00025,"rtl hang due to -->80005bc6:	43ef0f13          	addi	t5,t5,1086 # 800e0000 <begin_signature>
","    80005bbe:	00020fb7          	lui	t6,0x20

    80005bc2:	000daf17          	auipc	t5,0xda

    80005bc6:	43ef0f13          	addi	t5,t5,1086 # 800e0000 <begin_signature>

    80005bca:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005bce:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00024,"mismatch due to --> 80001904:	4f25                	li	t5,9
","```

spike.dump:

3 0x0000000080001904 (0x00004f25) x30 0x0000000000000009

rtl.dump:

3 0x0000000080001904 (0x00004f25) x30 0x0000000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00023,"mismatch due to --> 8000031a:	02b8d993          	srli	s3,a7,0x2b
","```

spike.dump:

3 0x000000008000031a (0x02b8d993) x19 0x0000000000000000

rtl.dump:

3 0x000000008000031a (0x02b8d993) x19 0x00000000001b975a

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00022,"rtl hang due to -->80005b30:	4d4f0f13          	addi	t5,t5,1236 # 800e0000 <begin_signature>
","    80005b28:	00020fb7          	lui	t6,0x20

    80005b2c:	000daf17          	auipc	t5,0xda

    80005b30:	4d4f0f13          	addi	t5,t5,1236 # 800e0000 <begin_signature>

    80005b34:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005b38:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00021,"mismatch due to --> 8000506a:	039b8a33          	mul	s4,s7,s9
","```

spike.dump:

3 0x000000008000506a (0x039b8a33) x20 0x0000000000000000

rtl.dump:

3 0x000000008000506a (0x039b8a33) x20 0x7ff8000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00020,"mismatch due to --> 800041b6:	009f5db3          	srl	s11,t5,s1
","```

spike.dump:

3 0x00000000800041b6 (0x009f5db3) x27 0x000000000000000b

rtl.dump:

3 0x00000000800041b6 (0x009f5db3) x27 0x7ff8000000000000

```

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00019,"rtl hang due to -->80005a6e:	596f0f13          	addi	t5,t5,1430 # 800e0000 <begin_signature>
","    80005a66:	00020fb7          	lui	t6,0x20

    80005a6a:	000daf17          	auipc	t5,0xda

    80005a6e:	596f0f13          	addi	t5,t5,1430 # 800e0000 <begin_signature>

    80005a72:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a76:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00018,"rtl hang due to -->80005ab2:	552f0f13          	addi	t5,t5,1362 # 800e0000 <begin_signature>
","    80005aaa:	00020fb7          	lui	t6,0x20

    80005aae:	000daf17          	auipc	t5,0xda

    80005ab2:	552f0f13          	addi	t5,t5,1362 # 800e0000 <begin_signature>

    80005ab6:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005aba:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00017,"rtl hang due to -->80005a24:	5e0f0f13          	addi	t5,t5,1504 # 800e0000 <begin_signature>
","    80005a1c:	00020fb7          	lui	t6,0x20

    80005a20:	000daf17          	auipc	t5,0xda

    80005a24:	5e0f0f13          	addi	t5,t5,1504 # 800e0000 <begin_signature>

    80005a28:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005a2c:	000eaf17          	auipc	t5,0xea

"
aapg_iclass_rv64imafdc_imafd_bringup_080720201594204783_00016,"rtl hang due to -->80005ac4:	540f0f13          	addi	t5,t5,1344 # 800e0000 <begin_signature>
","    80005abc:	00020fb7          	lui	t6,0x20

    80005ac0:	000daf17          	auipc	t5,0xda

    80005ac4:	540f0f13          	addi	t5,t5,1344 # 800e0000 <begin_signature>

    80005ac8:	01efa023          	sw	t5,0(t6) # 20000 <_tbss_end+0x20000>

    80005acc:	000eaf17          	auipc	t5,0xea

"
